"","x","y","elev_mean_3x3","elev_sd_3x3","pct_slope_mean_3x3","pct_slope_sd_3x3","tree_vol_mean_3x3","tree_vol_sd_3x3","dist_rivers_mean_3x3","dist_rivers_sd_3x3","dist_dambo_mean","dist_boundary_mean","fence"
"311",597751.285211003,8602475.86583023,956.220520019531,8.57150936126709,30.8190822601318,3.95629978179932,88.8281173706055,21.5998592376709,3207.15942382812,17.3222579956055,267.216522216797,467.556610107422,0
"312",598760.930891817,8602475.86583023,981.77685546875,9.88582706451416,35.926082611084,4.17959880828857,75.8127059936523,20.896333694458,2878.4677734375,17.3210964202881,166.519256591797,620.1904296875,0
"313",599770.576572631,8602475.86583023,907.287231445312,10.2745094299316,38.0460662841797,4.39469575881958,65.4379501342773,21.1664180755615,2790.90771484375,17.3207130432129,139.099334716797,462.125122070312,0
"314",600780.222253444,8602475.86583023,910.74169921875,10.0202598571777,36.3547515869141,4.11073207855225,88.1919021606445,20.4977054595947,3148.5966796875,17.322437286377,603.030395507812,675.963195800781,0
"315",601789.867934258,8602475.86583023,775.424621582031,6.42705631256104,22.9521827697754,2.99459481239319,96.7224273681641,18.229471206665,3714.07177734375,17.323112487793,545.233032226562,1576.78259277344,0
"316",602799.513615072,8602475.86583023,754.603820800781,6.38415670394897,22.6861038208008,3.19462060928345,78.4469375610352,17.5109691619873,3955.27490234375,17.1966934204102,264.567443847656,2123.28833007812,0
"317",603809.159295886,8602475.86583023,824.546875,7.70796489715576,27.9264011383057,3.06066489219666,59.1012153625488,12.9240417480469,3255.30126953125,17.3197269439697,254.492919921875,2003.26538085938,0
"318",604818.804976699,8602475.86583023,846.119384765625,5.27602052688599,18.5452671051025,2.88484406471252,73.2273712158203,19.8887825012207,2551.54711914062,17.3195953369141,249.888046264648,1855.76672363281,0
"319",605828.450657513,8602475.86583023,811.912841796875,6.90555477142334,24.7190418243408,3.33529925346375,93.4753723144531,23.1005516052246,1911.23181152344,17.3158912658691,143.634338378906,2079.17260742188,0
"320",606838.096338327,8602475.86583023,880.929748535156,5.54492855072021,19.697322845459,2.62930607795715,111.172218322754,16.2807674407959,1323.98498535156,17.2977695465088,554.016235351562,2655.18676757812,0
"321",607847.742019141,8602475.86583023,851.92138671875,6.9735860824585,25.2962703704834,2.61914086341858,122.716407775879,16.7115612030029,643.554016113281,17.2434406280518,695.948791503906,3392.84692382812,0
"322",608857.387699954,8602475.86583023,772.809509277344,9.33462142944336,33.977855682373,3.9030396938324,119.59797668457,18.3804550170898,229.962188720703,16.8981056213379,553.037170410156,4036.30541992188,0
"323",609867.033380768,8602475.86583023,790.20703125,8.03914642333984,29.0641708374023,3.46120524406433,103.513511657715,19.867130279541,628.629150390625,17.2341461181641,329.621185302734,4748.30224609375,0
"324",610876.679061582,8602475.86583023,858.208862304688,7.75343465805054,28.0250225067139,3.18625712394714,91.9502334594727,19.4456386566162,958.180236816406,17.2901725769043,226.260040283203,5553.3544921875,0
"325",611886.324742396,8602475.86583023,858.460266113281,5.54849910736084,19.6470470428467,2.75839924812317,97.3175582885742,17.207893371582,1214.67395019531,17.3022804260254,419.655639648438,6340.27978515625,0
"326",612895.97042321,8602475.86583023,756.594055175781,5.05000638961792,17.7832431793213,2.47157406806946,87.4961853027344,15.4723539352417,1418.85473632812,17.0317287445068,671.533935546875,6422.6611328125,0
"327",613905.616104023,8602475.86583023,703.976440429688,3.30398082733154,11.0558977127075,2.01703572273254,93.0505828857422,14.4104356765747,693.655883789062,17.282377243042,1523.7265625,6408.818359375,0
"328",614915.261784837,8602475.86583023,674.243225097656,2.60338115692139,8.44335174560547,1.83084750175476,99.3011627197266,15.4669914245605,263.769561767578,16.8955821990967,1412.10314941406,6115.26953125,0
"329",615924.907465651,8602475.86583023,710.998901367188,3.50715494155884,12.0128526687622,2.06065559387207,94.5675888061523,13.7456398010254,1083.14477539062,17.1717567443848,1263.83813476562,5294.0703125,0
